K,strategy,lr,gamma,epochs,acc,acc_std
Kabs_100,random,0.001,10,200,0.0,0.0
Kabs_100,uncertain,0.001,10,200,0.0,0.0
Kabs_100,uniform,0.001,10,200,0.0,0.0
Kabs_100,random,0.001,10,400,0.0,0.0
Kabs_100,uncertain,0.001,10,400,0.0,0.0
Kabs_100,uniform,0.001,10,400,0.0,0.0
Kabs_100,random,0.001,10,800,0.0,0.0
Kabs_100,uncertain,0.001,10,800,0.0,0.0
Kabs_100,uniform,0.001,10,800,0.0,0.0
Kabs_100,random,0.0001,0,200,0.0,0.0
Kabs_100,uncertain,0.0001,0,200,0.0,0.0
Kabs_100,uniform,0.0001,0,200,0.0,0.0
Kabs_100,random,0.0001,0,400,0.0,0.0
Kabs_100,uncertain,0.0001,0,400,0.0,0.0
Kabs_100,uniform,0.0001,0,400,0.0,0.0
Kabs_100,random,0.0001,0,800,0.0,0.0
Kabs_100,uncertain,0.0001,0,800,0.0,0.0
Kabs_100,uniform,0.0001,0,800,0.0,0.0
Kabs_100,random,0.0001,5,200,0.0,0.0
Kabs_100,uncertain,0.0001,5,200,0.0,0.0
Kabs_100,uniform,0.0001,5,200,0.0,0.0
Kabs_100,random,0.0001,5,400,0.0,0.0
Kabs_100,uncertain,0.0001,5,400,0.0,0.0
Kabs_100,uniform,0.0001,5,400,0.0,0.0
Kabs_100,random,0.0001,5,800,0.0,0.0
Kabs_100,uncertain,0.0001,5,800,0.0,0.0
Kabs_100,uniform,0.0001,5,800,0.0,0.0
Kabs_100,random,0.0001,10,200,0.0,0.0
Kabs_100,uncertain,0.0001,10,200,0.0,0.0
Kabs_100,uniform,0.0001,10,200,0.0,0.0
Kabs_100,random,0.0001,10,400,0.0,0.0
Kabs_100,uncertain,0.0001,10,400,0.0,0.0
Kabs_100,uniform,0.0001,10,400,0.0,0.0
Kabs_100,random,0.0001,10,800,0.0,0.0
Kabs_100,uncertain,0.0001,10,800,0.0,0.0
Kabs_100,uniform,0.0001,10,800,0.0,0.0
Kabs_100,random,1e-05,0,200,0.0,0.0
Kabs_100,uncertain,1e-05,0,200,0.0,0.0
Kabs_100,uniform,1e-05,0,200,0.0,0.0
Kabs_100,random,1e-05,0,400,0.0,0.0
Kabs_100,uncertain,1e-05,0,400,0.0,0.0
Kabs_100,uniform,1e-05,0,400,0.0,0.0
Kabs_100,random,1e-05,0,800,0.0,0.0
Kabs_100,uncertain,1e-05,0,800,0.0,0.0
Kabs_100,uniform,1e-05,0,800,0.0,0.0
Kabs_100,random,1e-05,5,200,0.0,0.0
Kabs_100,uncertain,1e-05,5,200,0.0,0.0
Kabs_100,uniform,1e-05,5,200,0.0,0.0
Kabs_100,random,1e-05,5,400,0.0,0.0
Kabs_100,uncertain,1e-05,5,400,0.0,0.0
Kabs_100,uniform,1e-05,5,400,0.0,0.0
Kabs_100,random,1e-05,5,800,0.0,0.0
Kabs_100,uncertain,1e-05,5,800,0.0,0.0
Kabs_100,uniform,1e-05,5,800,0.0,0.0
Kabs_100,random,1e-05,10,200,0.0,0.0
Kabs_100,uncertain,1e-05,10,200,0.0,0.0
Kabs_100,uniform,1e-05,10,200,0.0,0.0
Kabs_100,random,1e-05,10,400,0.0,0.0
Kabs_100,uncertain,1e-05,10,400,0.0,0.0
Kabs_100,uniform,1e-05,10,400,0.0,0.0
Kabs_100,random,1e-05,10,800,0.0,0.0
Kabs_100,uncertain,1e-05,10,800,0.0,0.0
Kabs_100,uniform,1e-05,10,800,0.0,0.0
Kabs_1000,random,0.001,0,200,0.0,0.0
Kabs_1000,uncertain,0.001,0,200,0.0,0.0
Kabs_1000,uniform,0.001,0,200,0.0,0.0
Kabs_1000,random,0.001,0,400,0.0,0.0
Kabs_1000,uncertain,0.001,0,400,0.0,0.0
Kabs_1000,uniform,0.001,0,400,0.0,0.0
Kabs_1000,random,0.001,0,800,0.0,0.0
Kabs_1000,uncertain,0.001,0,800,0.0,0.0
Kabs_1000,uniform,0.001,0,800,0.0,0.0
Kabs_1000,random,0.001,5,200,0.0,0.0
Kabs_1000,uncertain,0.001,5,200,0.0,0.0
Kabs_1000,uniform,0.001,5,200,0.0,0.0
Kabs_1000,random,0.001,5,400,0.0,0.0
Kabs_1000,uncertain,0.001,5,400,0.0,0.0
Kabs_1000,uniform,0.001,5,400,0.0,0.0
Kabs_1000,random,0.001,5,800,0.0,0.0
Kabs_1000,uncertain,0.001,5,800,0.0,0.0
Kabs_1000,uniform,0.001,5,800,0.0,0.0
Kabs_1000,random,0.001,10,200,0.0,0.0
Kabs_1000,uncertain,0.001,10,200,0.0,0.0
Kabs_1000,uniform,0.001,10,200,0.0,0.0
Kabs_1000,random,0.001,10,400,0.0,0.0
Kabs_1000,uncertain,0.001,10,400,0.0,0.0
Kabs_1000,uniform,0.001,10,400,0.0,0.0
Kabs_1000,random,0.001,10,800,0.0,0.0
Kabs_1000,uncertain,0.001,10,800,0.0,0.0
Kabs_1000,uniform,0.001,10,800,0.0,0.0
Kabs_1000,random,0.0001,0,200,0.0,0.0
Kabs_1000,uncertain,0.0001,0,200,0.0,0.0
Kabs_1000,uniform,0.0001,0,200,0.0,0.0
Kabs_1000,random,0.0001,0,400,0.0,0.0
Kabs_1000,uncertain,0.0001,0,400,0.0,0.0
Kabs_1000,uniform,0.0001,0,400,0.0,0.0
Kabs_1000,random,0.0001,0,800,0.0,0.0
Kabs_1000,uncertain,0.0001,0,800,0.0,0.0
Kabs_1000,uniform,0.0001,0,800,0.0,0.0
Kabs_1000,random,0.0001,5,200,0.0,0.0
Kabs_1000,uncertain,0.0001,5,200,0.0,0.0
Kabs_1000,uniform,0.0001,5,200,0.0,0.0
Kabs_1000,random,0.0001,5,400,0.0,0.0
Kabs_1000,uncertain,0.0001,5,400,0.0,0.0
Kabs_1000,uniform,0.0001,5,400,0.0,0.0
Kabs_1000,random,0.0001,5,800,0.0,0.0
Kabs_1000,uncertain,0.0001,5,800,0.0,0.0
Kabs_1000,uniform,0.0001,5,800,0.0,0.0
Kabs_1000,random,0.0001,10,200,0.0,0.0
Kabs_1000,uncertain,0.0001,10,200,0.0,0.0
Kabs_1000,uniform,0.0001,10,200,0.0,0.0
Kabs_1000,random,0.0001,10,400,0.0,0.0
Kabs_1000,uncertain,0.0001,10,400,0.0,0.0
Kabs_1000,uniform,0.0001,10,400,0.0,0.0
Kabs_1000,random,0.0001,10,800,0.0,0.0
Kabs_1000,uncertain,0.0001,10,800,0.0,0.0
Kabs_1000,uniform,0.0001,10,800,0.0,0.0
Kabs_1000,random,1e-05,0,200,0.0,0.0
Kabs_1000,uncertain,1e-05,0,200,0.0,0.0
Kabs_1000,uniform,1e-05,0,200,0.0,0.0
Kabs_1000,random,1e-05,0,400,0.0,0.0
Kabs_1000,uncertain,1e-05,0,400,0.0,0.0
Kabs_1000,uniform,1e-05,0,400,0.0,0.0
Kabs_1000,random,1e-05,0,800,0.0,0.0
Kabs_1000,uncertain,1e-05,0,800,0.0,0.0
Kabs_1000,uniform,1e-05,0,800,0.0,0.0
Kabs_1000,random,1e-05,5,200,0.0,0.0
Kabs_1000,uncertain,1e-05,5,200,0.0,0.0
Kabs_1000,uniform,1e-05,5,200,0.0,0.0
Kabs_1000,random,1e-05,5,400,0.0,0.0
Kabs_1000,uncertain,1e-05,5,400,0.0,0.0
Kabs_1000,uniform,1e-05,5,400,0.0,0.0
Kabs_1000,random,1e-05,5,800,0.0,0.0
Kabs_1000,uncertain,1e-05,5,800,0.0,0.0
Kabs_1000,uniform,1e-05,5,800,0.0,0.0
Kabs_1000,random,1e-05,10,200,0.0,0.0
Kabs_1000,uncertain,1e-05,10,200,0.0,0.0
Kabs_1000,uniform,1e-05,10,200,0.0,0.0
Kabs_1000,random,1e-05,10,400,0.0,0.0
Kabs_1000,uncertain,1e-05,10,400,0.0,0.0
Kabs_1000,uniform,1e-05,10,400,0.0,0.0
Kabs_1000,random,1e-05,10,800,0.0,0.0
Kabs_1000,uncertain,1e-05,10,800,0.0,0.0
Kabs_1000,uniform,1e-05,10,800,0.0,0.0
